SPECIES,SOURCE,X,Y,DEF,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
sm,USA,1700000,90000,4,0,0,0,0,0,0,0,0,1,0,-1,5,-4,-1,0,0,0,0,0,0,0,0
sm,USA,1725000,365000,3,0,0,0,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,49,-49,59,-59,0
sm,USA,1725000,340000,3,0,0,0,2,0,-2,0,0,0,0,0,0,0,0,0,0,0,9,-9,0,0,0
sm,USA,1725000,315000,4,0,0,0,4,-4,0,2,-2,0,0,0,0,1,-1,0,0,0,10,-10,0,0,0
sm,USA,1725000,265000,3,0,0,0,0,0,0,0,0,0,2,0,-2,0,0,0,0,0,3,-3,0,0,0
sm,USA,1725000,240000,6,0,0,0,0,2,-2,0,1,20,5,11,-15,-22,0,0,0,0,0,0,0,0,0
sm,USA,1725000,215000,7,0,0,0,0,0,0,0,13,36,56,45,-125,-24,-1,0,0,0,0,0,1,-1,0
sm,USA,1725000,190000,7,0,0,0,1,-1,0,0,97,-51,103,-46,-56,-47,0,0,0,0,1,-1,0,0,0
sm,USA,1725000,165000,8,0,0,0,1,-1,0,1,6,10,46,47,-91,-19,0,0,0,0,2,-2,0,0,0
sm,USA,1725000,140000,8,0,0,0,0,0,0,3,-3,18,6,-10,-12,-1,-1,0,0,0,4,-4,2,-2,0
sm,USA,1725000,115000,10,0,0,0,2,3,-5,1,-1,3,23,-12,-9,-2,-3,0,2,-2,2,-2,0,0,0
sm,USA,1725000,90000,5,0,0,0,2,-2,0,0,0,0,1,-1,6,-4,-2,0,0,0,1,-1,0,0,0
sm,USA,1750000,440000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-2,4,0,-4
sm,USA,1750000,240000,6,0,0,0,0,0,0,0,2,2,14,17,-31,-4,0,0,0,0,0,1,-1,0,0
sm,USA,1750000,215000,6,0,0,0,0,0,0,0,9,12,-9,6,-12,-6,0,0,0,0,1,-1,0,0,0
sm,USA,1750000,190000,5,0,0,0,0,0,0,0,1,0,2,7,-7,-3,0,0,0,0,0,0,0,0,0
sm,USA,1750000,165000,5,0,0,0,0,0,0,0,0,0,3,6,-6,-2,-1,0,0,0,1,-1,0,0,0
